City,State,2014_avg,2015_avg,2016_avg,2017_avg,2018_avg,2019_avg,2020_avg,2021_avg,2022_avg,2023_avg,2024_avg
Gardnerville Ranchos,NV,320941,347399,372588,404571,444557,480733,520950,637195,702187,657748,652640
Fort Polk South,LA,142305,143948,137689,133950,125625,134273,145037,143417,150384,148212,142998
Ca-on City,CO,141447,150476,170069,186677,204734,222173,244458,290400,329721,330067,324868
Natchez,MS,94012,101854,105477,103134,101431,106864,108792,122120,136026,116865,105537
New Castle,IN,77893,81375,85904,91036,97944,106281,116224,135383,153840,159424,159365
Clovis,NM,140713,139100,132958,131335,130094,140363,147857,149508,159857,160389,153848
Norfolk,NE,126133,134359,142534,151343,161426,169580,177136,195198,216367,222812,224134
Cadillac,MI,77710,81851,86134,92332,117074,140716,152364,171330,187488,191658,187569
Ruston,LA,146563,154710,163151,169274,173214,176754,183626,195768,205818,205756,202453
Sidney,OH,119436,124273,128317,133942,142720,150437,160987,182260,198898,203728,206834
Pullman,WA,192705,203483,211831,223437,238975,255054,281956,322410,361614,368497,364437
Malone,NY,98752,102593,103704,107381,112338,115836,123710,144038,162487,165397,159033
Del Rio,TX,115022,120748,125670,130445,134465,144592,157743,175508,192705,191483,193581
Blackfoot,ID,149822,153222,161986,172956,189866,210815,244193,317191,367286,345494,339296
Red Wing,MN,177873,187273,198452,209047,221181,235713,250212,276272,305608,311790,307486
Nogales,AZ,120165,130776,139793,145122,154514,167126,185250,225888,258013,261417,263547
Tahlequah,OK,109546,110957,113899,115684,115760,118523,132829,159463,182321,189972,187047
Kendallville,IN,111061,120188,125705,132985,141830,151077,161320,185938,208992,218120,218969
Montrose,CO,205863,219229,237930,254806,277316,296707,320021,380029,440433,446280,447212
Cortland,NY,111590,113412,118950,121879,127044,130057,137969,154128,169394,175815,176822
Mount Sterling,KY,86274,91981,98871,98638,103876,110416,120166,136321,152501,157859,154843
Clinton,IA,107031,111547,115089,116437,120451,126821,135065,144236,159870,162914,161112
Sandpoint,ID,237763,257555,280627,301722,327778,354141,404571,551765,650981,614440,611053
Bardstown,KY,119342,123502,128848,138431,148910,158500,172918,199640,224854,233700,235579
Wapakoneta,OH,118316,121652,127431,134064,141287,149102,159878,176881,194306,199175,202712
Plymouth,IN,128635,133678,138713,141671,149651,155730,168156,195056,217014,228622,233476
Lewistown,PA,93088,91752,98065,101830,107579,112584,119957,138301,151679,164113,163404
Bemidji,MN,155395,157529,163000,166607,171830,181701,193026,218027,243030,252908,253249
Bellefontaine,OH,121195,127718,133135,138079,145183,155041,176391,194468,206794,214610,219942
Seymour,IN,118195,124277,128633,133857,139591,147154,159224,178677,197867,206480,209375
Burley,ID,130114,135948,145512,159645,174741,188212,207639,263312,309324,314341,312312
Durant,OK,109406,111086,118704,121281,132145,140979,157220,184200,212301,218881,217965
Moultrie,GA,83111,83903,84583,85583,91159,97349,103221,117580,125685,122454,125341
Bogalusa,LA,96084,100822,104167,112300,115045,123683,130203,133585,138248,126780,118130
Cornelia,GA,112694,123192,130811,135918,149594,161185,179115,215896,253514,265373,272418
Hillsdale,MI,106444,110951,117562,125519,133899,142582,153167,174989,190721,188067,185953
Thomasville,GA,111541,115019,117273,119700,129411,136538,144891,164709,188412,195522,197426
Paragould,AR,104921,109274,116595,119975,123133,129680,138027,157259,174624,177610,176693
Burlington,IA,95254,100808,104576,104879,107776,110764,114763,120531,127554,128333,125489
Madisonville,KY,80339,82422,85323,86475,88075,94080,99440,110630,126168,133212,133254
Menomonie,WI,143475,153031,161136,170551,186650,196833,211547,242470,269044,281632,277683
Shawano,WI,120676,123507,127439,132350,142956,154262,164691,193005,206742,220976,223607
Vicksburg,MS,117252,140599,147547,146460,143255,144643,150493,168536,170455,164418,159946
Bedford,IN,97016,100424,101148,105949,116773,128172,141846,167402,185671,188589,190129
Washington,NC,116177,122821,131640,133660,139083,144994,156942,183939,213638,223840,225664
Freeport,IL,66696,73056,75742,77250,84052,90832,95106,111064,124843,129674,130507
Harrison,AR,110781,116848,121745,125956,129502,136300,145327,167789,193669,203301,206979
Rolla,MO,118976,120693,122615,127792,130197,135649,143671,165468,187190,191135,191757
Coldwater,MI,113366,116690,122252,127682,137322,149366,152567,173050,184126,186194,182621
Marion,NC,121551,126376,135241,141672,152343,168137,178487,213111,234404,241830,241308
Huntingdon,PA,104986,113071,119389,119078,123504,128355,139227,158674,168081,170286,170304
Ellensburg,WA,226565,240687,260509,283662,318574,339353,371885,450256,513171,506639,492890
Ponca City,OK,61954,65246,69209,64773,68675,72284,76602,88730,99074,99363,96649
Lawrenceburg,TN,101595,106953,114655,124662,131087,147253,161556,189992,222129,225014,218742
McAlester,OK,85627,85454,87034,85421,90356,93868,104221,116098,128435,132338,132504
Mount Pleasant,TX,109363,114350,122128,129227,136737,146144,157546,188037,212448,214328,212380
Willmar,MN,155766,159441,162657,164721,172113,183644,196109,220826,245076,251077,249586
Rockingham,NC,70078,68808,72393,75845,79640,84868,92362,100290,115725,122794,117435
Muscatine,IA,119411,125883,133627,135961,141027,145790,151939,167174,181713,184729,182784
Lewisburg,PA,168245,174765,176096,185420,189239,196170,209483,228867,249817,259274,260128
Auburn,IN,116462,122923,129806,135802,145648,153882,164989,186676,207042,216331,219992
Duncan,OK,82406,85364,81907,79304,82786,85126,85653,98817,114479,120615,123930
Sedalia,MO,74977,81490,84846,86693,95609,108523,118480,135174,154115,160783,164106
Cedartown,GA,76110,83149,87097,93432,105571,113716,127961,158132,190601,198652,202789
Henderson,NC,83565,88154,89226,92856,100542,111630,123232,147167,160765,168718,165420
Aberdeen,SD,144182,142861,146786,151547,156621,164421,174353,191672,209746,213173,211391
Rock Springs,WY,206272,216996,218439,215488,217228,222679,229474,238213,253874,265460,265705
Garden City,KS,132180,139311,144379,149282,155256,163250,175034,195093,217207,223904,221269
Stephenville,TX,145426,153226,161261,165750,176382,187287,202663,241106,284262,295885,295019
Celina,OH,149422,153067,144715,146850,156437,165989,179610,203223,221542,233762,234568
Wilmington,OH,104244,114659,124835,133430,141134,148923,164141,192103,212100,217226,219379
Bucyrus,OH,74188,75257,76834,77457,82767,90424,100346,117401,130146,135287,133528
Alma,MI,101256,101590,107981,113040,118451,120234,132713,153132,161057,163170,153232
El Campo,TX,115880,126701,137096,141401,147507,160969,172774,185793,201692,195543,187345
Mountain Home,AR,130149,133254,137275,141090,145407,152267,160260,183541,207201,212223,211085
Gainesville,TX,138679,148938,160885,175357,192850,208105,226086,260031,300523,296085,294239
Tifton,GA,114389,115689,118855,119729,126301,133828,142753,156883,174338,181771,180090
Blytheville,AR,59303,53787,57200,58496,68304,69821,91933,105961,95081,84052,88293
McMinnville,TN,98920,102480,110522,120034,129307,146351,163887,192353,225620,231400,236427
Astoria,OR,234676,250102,274529,297972,318875,338118,364818,440652,512784,517823,506800
Bradford,PA,82579,85707,86690,85875,86331,87441,90418,100518,102266,103826,101129
Espa-ola,NM,193697,189731,198447,202998,211594,222537,240414,279614,293663,292482,295515
McComb,MS,87783,90643,90957,94048,96903,101452,102866,110663,112597,106347,94496
Big Stone Gap,VA,85543,82504,79068,81248,85495,81926,86250,99679,111483,114697,112417
Marshalltown,IA,88922,90715,94812,100018,109258,118976,123532,136961,149983,153185,153200
Big Rapids,MI,107703,110787,120504,128354,135166,142456,156626,180124,197918,201440,197317
Austin,MN,92976,94809,100694,106614,116261,125044,134053,155676,173391,176337,178297
Selinsgrove,PA,213156,165826,161485,168227,167427,172262,183507,202975,209535,209856,199569
West Plains,MO,99236,103915,111187,113501,116327,121979,130966,158173,187577,196995,196874
Okeechobee,FL,92567,102400,114346,126161,143044,156616,168356,199500,243661,259634,266338
Houghton,MI,108136,108210,111412,114463,120680,120664,124414,137297,151378,154694,149806
Moscow,ID,231615,237711,242372,248310,264682,290266,318740,380414,433961,434728,432048
Clewiston,FL,84038,94212,108700,122281,136446,148776,161726,195044,242224,265775,275408
Riverton,WY,199230,206526,206306,200481,198623,209206,217772,247580,292025,304640,305431
El Dorado,AR,87239,89254,91096,94382,97025,102242,111026,120132,119770,117940,114104
Selma,AL,75982,77471,79635,74843,74581,72439,75353,79153,78936,77567,73238
Pittsburg,KS,76959,78684,79221,77704,77382,80800,87309,99011,111825,117891,116867
Hannibal,MO,103901,114348,116540,115701,119689,123228,132247,150896,170186,174251,176486
Warren,PA,88424,94376,92976,84108,87919,92222,101002,116185,128531,132904,136841
Alexandria,MN,181927,192847,204124,213257,223800,235868,250850,280094,309388,318691,318619
Urbana,OH,123278,125530,129626,134146,145573,155122,167579,189993,211662,219186,220904
Greenwood,MS,61183,68343,72984,75514,76442,87478,93975,109781,115101,103478,91159
Cambridge,OH,85817,94160,97162,95932,94755,101361,111965,128184,137145,140352,139878
Williston,ND,305260,334936,300271,279639,264564,283632,300474,309821,317891,310869,300511
Defiance,OH,103188,104617,109396,112438,119656,125265,132550,148637,159832,163584,165853
Sikeston,MO,117394,107671,109506,116744,122926,122997,129316,138207,146039,144165,139692
Safford,AZ,150108,157622,160530,165359,171465,187223,207779,235218,256968,263174,263026
Jacksonville,IL,97714,98996,102852,100425,99523,102401,106307,106905,108002,111382,113642
Ada,OK,101677,106500,108183,106439,114117,114274,125066,143624,166814,170768,165937
Brownwood,TX,113420,117086,118158,118803,126406,134721,145051,164768,184988,182446,177582
Crawfordsville,IN,104817,110607,115475,121942,129210,138361,148643,170985,193993,196539,196970
Logansport,IN,73170,75052,78982,82570,89519,96373,105598,123200,136254,142893,146582
Scottsbluff,NE,114303,118488,121424,123436,127772,133125,138896,153133,167377,174469,176766
Natchitoches,LA,162151,165087,159113,159458,160891,166177,174527,180475,183515,176157,162995
Newberry,SC,131464,137577,144078,144575,148212,157577,184289,210694,228639,220428,214706
Lock Haven,PA,125272,128101,131033,135487,138780,143406,149056,164008,179760,178336,178628
Centralia,IL,53377,70454,76282,75542,74567,71112,79950,87179,94318,97338,95977
Easton,MD,300072,307233,313321,321327,330058,337526,352486,408674,444876,456676,462204
Owatonna,MN,147224,152043,160641,171394,181719,192041,204710,237138,261294,267610,269285
Mount Vernon,IL,155089,165672,135177,101905,94787,96896,102838,101869,109074,111874,111907
Laramie,WY,219140,227755,235572,242181,244831,256616,273786,305661,342834,353560,348338
Murray,KY,38476,38562,39844,44345,52262,54588,68952,81472,92929,92710,84775
Fremont,NE,108495,114958,121118,130750,147316,154655,162967,186132,209571,217884,219384
Bennington,VT,217598,220553,216806,225724,233831,237609,248819,297246,342502,360765,355169
Sault Ste. Marie,MI,118426,116679,109492,101793,105986,123203,134699,145924,157352,163114,154063
Campbellsville,KY,94152,96547,102294,107260,111837,111882,120831,141479,162790,168017,168964
Dyersburg,TN,94820,99099,104542,105176,113046,121000,128561,138222,147575,151713,153221
Escanaba,MI,103694,106664,107265,108722,113246,117370,125300,141253,152985,162858,158777
Mayfield,KY,67866,71715,73493,76338,84634,90315,100706,113901,133107,138752,136821
Kill Devil Hills,NC,310409,314579,323445,336722,349816,360553,374928,463230,563505,584934,589187
Sulphur Springs,TX,135077,138493,151054,160684,165727,176309,198263,232936,260576,260787,246571
Hutchinson,MN,145230,155982,165898,176963,186188,196203,208425,237593,263490,272437,272135
Coshocton,OH,85548,89842,93844,95760,100279,109359,117452,134034,150073,155201,154160
Huntington,IN,97426,101560,106923,110221,117434,124141,132261,151363,167895,178535,180870
DeRidder,LA,153811,172817,177396,174047,178214,193050,202486,188871,176868,163520,159135
Vincennes,IN,80257,83613,85891,85289,87359,94639,101755,115040,128728,133586,136788
Bay City,TX,138129,145516,155350,160495,170828,168326,176957,192171,208874,202364,198154
North Platte,NE,125719,130927,138777,144079,147620,153754,157638,168423,188182,194577,193922
Peru,IN,69848,75530,80019,82132,88534,96998,104837,122084,133124,136284,135615
Pontiac,IL,94705,92080,94193,92862,96690,102916,107243,116794,127768,133247,135281
Lebanon,MO,112165,119928,122269,126790,130982,140403,152941,173705,199931,208442,208097
Newport,TN,107517,110962,118577,129053,133565,148495,162294,182572,205964,205972,204215
Decatur,IN,113106,117429,123064,128948,136905,146181,155082,171736,193096,205468,209327
Vidalia,GA,85973,88484,90724,97734,103562,110638,117487,134806,149030,152254,155798
Brenham,TX,183352,197972,211390,220073,230595,242784,259094,296978,339669,332231,328525
Vernal,UT,206290,216520,201838,175320,178866,200692,222679,239497,281847,309362,313620
Ottumwa,IA,73611,83476,88157,78344,81778,83237,86497,95427,108308,113026,114934
Butte,MT,109461,113157,121767,129649,141322,151409,164579,204424,249301,263135,264390
Corinth,MS,101155,104637,109151,113303,115257,118803,123605,141126,151895,143599,140853
Brookhaven,MS,109870,121191,136232,144020,147331,153996,165609,176693,186251,170846,168857
Emporia,KS,90669,92854,94299,97891,102434,109686,119144,136553,149423,153995,155775
Jackson,WY,538137,609264,665316,712017,761184,798037,844619,1098767,1344688,1399434,1445736
Big Spring,TX,117653,132781,126320,115735,125338,140933,152420,151585,146496,136366,137089
Effingham,IL,127742,132061,134840,141668,146742,153791,160876,174014,196544,198518,194563
Dodge City,KS,93256,101763,104921,110309,116422,121956,127594,147652,165371,183661,190518
Watertown,SD,183588,194431,207493,214172,217728,225573,237669,269650,308074,318129,313838
Angola,IN,155911,161509,167853,178726,188789,197917,212917,252975,282856,290651,287380
Dixon,IL,72989,68889,83345,105374,118057,119724,124140,139825,149206,150197,151389
Laurinburg,NC,71972,70948,74016,75128,76176,77761,83488,99900,120337,130979,130534
Taos,NM,268742,280693,300413,306583,320248,328703,356428,414546,452828,449532,417768
Brookings,SD,169260,176810,184847,191611,198808,206027,217693,243755,270501,278127,276121
Americus,GA,78209,78042,77068,73683,78189,81654,87535,102379,117680,119792,122399
Columbus,NE,141048,146399,152911,165827,176162,187287,198459,225936,247909,256831,258548
Taylorville,IL,80434,80598,84003,82785,85468,88837,91105,95148,99846,103917,105937
Arcadia,FL,88966,99435,114477,129653,140892,151426,161761,194425,250327,252108,251048
Lewisburg,TN,114819,127762,142541,161700,187128,204869,224463,269110,314644,312769,309323
Seneca Falls,NY,108178,109301,112995,118758,123559,127048,134974,158187,176015,183302,183970
Dickinson,ND,258661,281743,268875,259551,247134,248492,254814,258366,269006,273709,270931
Washington,IN,115920,117753,122831,130104,137641,145894,157826,181368,199969,208178,208986
Troy,AL,122610,124905,128069,126391,124934,131287,137474,146952,159649,159161,155334
Malvern,AR,91953,97610,105386,109882,110985,112827,122793,136849,146630,147825,147715
Frankfort,IN,92068,97355,100753,103419,109966,120701,133239,155094,176348,184363,186401
Madison,IN,99315,108658,113079,125502,133186,140011,151158,171833,194567,205165,205226
Brevard,NC,194442,200351,210957,227665,247670,255521,280364,347231,408780,430327,436159
Susanville,CA,127123,132615,148870,162806,175783,185113,196326,225366,233679,233311,224824
Martin,TN,94711,95830,98390,101915,104399,111866,120033,135564,155934,163125,163339
Plainview,TX,85582,85050,87227,88794,92411,97027,105635,112442,122804,116970,110246
Dayton,TN,107333,118610,126185,133581,140178,157336,169965,198481,228338,230065,229968
Jackson,OH,69954,69912,74663,76765,81070,84101,92680,106746,113570,116274,115991
Cambridge,MD,143096,147688,151117,155872,168485,176684,190461,220028,241319,249287,250490
Paris,TN,102387,103759,110297,115134,118198,126862,136552,153927,180191,184495,184807
Juneau,AK,351797,371675,382127,390002,399770,403067,410426,440496,472256,469286,472964
Coffeyville,KS,66354,63825,59319,57893,58777,60565,64125,73521,83872,82672,78370
Las Vegas,NM,147122,147996,148435,154254,162211,168317,178231,201911,212210,205924,203558
Berlin,NH,108460,109160,111836,119905,129574,134066,147725,182248,220919,232432,231257
Cleveland,MS,142417,139150,141390,139344,146809,156447,160372,153854,144770,131695,123313
Hastings,NE,111470,115932,121727,125919,134508,141994,154458,169628,183303,189673,189148
Beeville,TX,117270,123702,123000,125996,134268,146976,157216,165713,170445,152775,142179
Kingsville,TX,100145,102832,106018,105363,107928,114506,124092,136331,141317,136076,131384
Wabash,IN,92713,96638,99033,104554,111647,118174,126670,142815,156212,164512,165904
Breckenridge,CO,432425,461854,510911,583839,646652,694981,728502,888142,1071054,992411,967994
Albert Lea,MN,86986,90625,97835,105078,112266,121299,129233,147464,162530,171923,169462
Sheridan,WY,240624,256307,260183,264784,276909,293600,312948,357626,406156,413737,402433
Union City,TN,84892,86102,89879,92665,94647,99258,105211,118040,134570,141941,138270
Miami,OK,70442,68867,68919,73876,78466,80101,84805,99848,111626,114863,114713
Iron Mountain,MI,97033,100208,99448,103232,114603,120037,131805,138399,147027,157133,154338
Jesup,GA,106551,108955,110147,111574,118560,128140,140608,159417,179451,182674,183159
McPherson,KS,129195,135814,139951,142740,149003,156296,166552,179313,193687,198880,196851
Kirksville,MO,117181,119567,121787,123218,126437,131969,141107,159969,167061,168948,168108
Ludington,MI,142836,149567,158086,157371,155372,158318,171868,211858,233892,235498,227548
Bainbridge,GA,91218,92168,91914,89412,92566,100328,109039,125852,143659,153156,154594
Alpena,MI,106965,104910,108525,110248,118471,113806,122458,137288,154119,163398,159761
Washington Court House,OH,111633,113645,120360,128437,136583,144583,159516,178621,197719,202767,206724
Hays,KS,151616,162433,166948,165633,166557,171658,182506,198031,217931,220496,217890
Fort Morgan,CO,148084,160871,177008,198984,223339,245561,268065,308093,346669,336844,334213
Van Wert,OH,87113,86622,93467,97054,102892,107650,117029,135284,149379,155958,161371
Kennett,MO,74729,73254,77027,79176,80531,82184,82378,90013,90312,81978,74232
Weatherford,OK,102296,112234,115404,112969,116506,121412,124639,131431,141088,150910,153507
Mountain Home,ID,121644,125366,132722,144029,164132,188789,226011,303441,339856,329689,333414
Mineral Wells,TX,126250,128865,133130,137308,146613,159808,176898,218674,252245,248618,239343
Lincoln,IL,100952,102115,104441,100399,101971,106834,114123,114553,116189,121028,120353
Silver City,NM,126274,123879,124646,130102,137508,138474,146502,167356,186591,192739,185420
Elkins,WV,92907,100908,107706,113215,119517,112733,115316,129330,142131,143638,143508
Macomb,IL,81141,82810,81993,77597,74019,76565,80319,83154,87828,88897,88866
Camden,AR,68162,70103,73511,74094,77134,79976,85708,93430,95033,97231,92211
Crescent City,CA,186766,197295,211629,233530,252970,262973,284633,320315,346967,349576,345961
North Vernon,IN,105846,109760,113662,115519,121645,130339,142665,165662,186896,195710,197080
Thomaston,GA,65450,67136,70311,71486,79138,89388,101676,124960,150595,162736,163435
Grants,NM,120391,116189,108291,99240,106625,113269,123313,142739,158846,161285,160628
Bennettsville,SC,65888,67957,72072,70498,83057,77589,81478,88752,99752,89168,80394
Fredericksburg,TX,257298,273926,300966,335147,368105,362110,387224,471347,548338,529854,527106
Toccoa,GA,82235,83675,87819,93332,104520,117728,131890,161993,193369,201292,205222
The Dalles,OR,167825,176485,194114,216082,243937,266299,291784,351406,390515,383989,378679
Greensburg,IN,122258,126568,132070,137893,142986,153254,166765,190372,213201,217112,219565
Indianola,MS,68529,88586,91905,90441,91304,94564,102203,117217,114153,101735,97284
La Grande,OR,159458,163737,173297,182892,194267,202998,219047,260874,292882,299706,296988
Ottawa,KS,100591,109376,120019,127355,136688,145007,159955,186819,209971,217059,218343
New Ulm,MN,133033,135614,141644,146618,155129,162744,168885,186184,204899,208090,208183
Lexington,NE,105584,113743,120591,124841,130890,138429,145380,162831,180513,187185,185662
Great Bend,KS,70608,76679,78534,76441,76373,76582,77789,85861,96065,100569,103765
Spearfish,SD,214947,226026,236167,246466,258189,269206,288141,343856,402545,406670,409847
Wauchula,FL,81442,88186,98156,104713,115716,123506,134498,161747,194606,203514,210997
Marshall,MN,150553,154389,159548,161040,164521,163477,169115,184949,200337,206057,199475
Deming,NM,125632,114547,103412,101514,107993,111094,117918,131185,141670,135279,134158
Mexico,MO,89736,92672,94090,95374,100342,109097,118894,133988,148258,154684,154827
Fallon,NV,147362,162756,180678,201113,228952,251486,267778,323962,363323,351363,354923
Altus,OK,70540,69085,70633,69729,71321,75947,75589,86949,96497,97673,100171
Uvalde,TX,128825,140803,147134,144901,142097,147396,155101,171570,182139,178568,171539
Hailey,ID,397037,424038,445311,474426,510727,530949,592998,781683,948739,909566,923418
Steamboat Springs,CO,407863,429077,467607,506632,541462,578052,621903,808220,1002173,1011560,1041299
Summerville,GA,79325,82024,84663,85270,90212,101890,111159,135625,156272,156736,155405
Moberly,MO,90107,89236,91440,98573,102345,109147,117923,134960,148700,154045,156137
Middlesborough,KY,69980,71612,72142,67400,69527,74466,78459,78678,83472,80284,71386
Woodward,OK,103844,109282,105223,100446,102906,108286,108786,113736,117871,122446,118013
Prineville,OR,174312,192200,219655,250817,278347,298258,325589,403855,459124,445484,440195
Hood River,OR,323399,345787,374692,417951,452734,470215,501795,603478,673838,669955,663802
Forrest City,AR,59405,59629,62867,64767,65234,69469,72290,72698,72688,72618,68854
Connersville,IN,74670,71639,69541,70626,79383,86178,95675,110326,128696,135918,137680
Mitchell,SD,145654,147391,153468,163965,167492,171067,179130,200947,227879,236810,235655
Marshall,MO,125022,125398,128261,127105,133490,134524,144501,146841,148211,159153,152075
Brookings,OR,241722,253377,276006,298888,317209,337024,363484,425628,475599,471972,461185
Yankton,SD,168422,178708,185260,190169,198467,201374,209490,230945,257998,257615,248846
Wahpeton,ND,120684,128568,139197,143204,149407,156086,165807,180404,198505,195814,191256
Magnolia,AR,99017,101462,109794,112577,117525,119373,124892,134647,136234,131303,121589
Elk City,OK,128531,135676,127390,120069,118463,113956,115837,119986,128280,131582,133785
Liberal,KS,93096,103159,107886,107589,106897,112212,119187,134449,147963,140642,135414
Worthington,MN,123324,126673,134919,141990,144781,151607,161053,184352,204766,211733,204093
Oskaloosa,IA,99882,103287,110026,113587,118678,123652,131105,147515,164407,169375,168716
Pampa,TX,72902,76238,73721,69260,66472,71112,72430,78295,80333,82436,81829
Clarksdale,MS,43572,45720,43641,42561,43674,47216,53180,67006,61783,50622,45774
Sterling,CO,123235,131238,142913,151763,165290,177924,192904,220380,250395,251496,247215
Beatrice,NE,95702,99357,103311,111608,120891,124638,132193,147323,166517,171730,170848
Jamestown,ND,160290,182947,192778,187695,185449,186148,191883,197870,210659,202438,193489
Levelland,TX,108370,111945,115112,117789,123877,132482,139433,147503,153174,150225,149415
Grenada,MS,72523,83125,89180,88287,88887,97488,103903,119052,123758,116515,116181
Maryville,MO,124355,127629,125287,128360,135232,145397,154417,172175,199331,203723,200459
Arkadelphia,AR,90930,93646,98367,99739,102835,106018,111039,125851,135606,142852,140204
Dumas,TX,119226,117627,123286,132877,151604,146158,153822,163243,171493,166632,164731
Guymon,OK,100732,104607,103735,104396,109989,112561,118848,135493,156990,150947,145838
Borger,TX,78483,79200,83065,81457,84367,88260,89211,97377,101209,95815,93510
Pierre,SD,180689,185483,191719,198567,204386,209595,218376,247331,276808,277151,271307
Huron,SD,141746,144910,150771,156699,159087,162790,170023,193813,214238,206645,188326
Storm Lake,IA,107436,109146,113448,116758,123951,132195,140068,154061,173328,180061,181298
Cordele,GA,74301,75031,76289,77996,81310,84890,91548,104154,120225,123720,122149
Evanston,WY,176595,180145,185036,186755,190552,198580,210566,244839,288535,301300,297661
Raymondville,TX,79966,82905,85875,87088,97127,107770,119094,130595,122496,106201,98644
Port Lavaca,TX,127419,133884,137958,142169,148725,159116,166272,182090,197314,195106,185753
Othello,WA,133677,139241,145311,155978,170765,185263,206501,248697,282528,290520,290625
Vineyard Haven,MA,666026,690419,734395,784287,842673,888487,943348,1166905,1416829,1440931,1466884
Parsons,KS,66883,70783,63530,55253,57456,60155,64133,75190,84151,81835,78693
Price,UT,129198,127515,129557,132542,135638,150560,162114,195611,234982,248580,249189
Portales,NM,131385,140170,122910,118696,123514,128548,135565,134666,138723,138743,137484
Los Alamos,NM,248726,247272,259847,292673,329471,355138,404234,456507,493913,513852,536628
Hereford,TX,78835,78032,80487,84236,93262,102649,122230,144818,152362,151842,153369
Andrews,TX,138868,149146,161026,164190,170166,188164,206186,219286,223052,210160,210202
Spirit Lake,IA,222468,227789,235690,238356,246501,260377,275268,299302,345246,359062,362963
Fitzgerald,GA,60711,59132,61240,61078,65495,68633,74052,89346,109604,108080,107841
Winnemucca,NV,176270,173970,183555,190532,199328,209855,225765,262955,291153,296797,300832
Maysville,KY,79252,82395,83505,84105,89217,94174,100129,117446,135227,139747,138854
Snyder,TX,99546,105650,104967,101076,101982,106363,111694,120801,122434,117125,112368
Helena,AR,48633,49683,51957,55013,55981,54725,56822,54645,51670,46639,43948
Spencer,IA,112147,116886,122527,126336,129008,134208,140331,154294,172564,177171,175226
Atchison,KS,75830,80109,85853,88336,92924,99126,110221,131092,152717,149938,149850
Fairfield,IA,113689,117063,122250,124825,130385,133633,140060,154583,174642,170557,170203
Vermillion,SD,129982,134261,139240,147158,156991,165011,177012,198918,224373,235920,235300
Sweetwater,TX,95719,102315,105606,103810,103941,109574,113599,120355,120581,110789,101784
Pecos,TX,123488,125092,134341,132347,149144,169009,195835,217169,224933,165533,145172
Zapata,TX,103351,107795,107930,113224,114638,119435,128080,139111,137278,119349,108358
Ketchikan,AK,254184,268618,278640,287025,304212,324276,344258,368896,391994,388390,375909
Craig,CO,155559,156684,158803,162708,169899,180380,194530,219458,254478,276521,277276
Vernon,TX,67850,66962,66663,67127,70610,75248,81507,86875,95918,91386,85823
Lamesa,TX,68181,72209,76035,75334,76942,82307,91559,98232,94129,83427,74886
